time,loc,cat,MAP,CIR
2020-04-10 14:45:00,NA,NA,10,10
2020-04-10 14:50:00,NA,NA,10,10
2020-04-10 14:55:00,NA,NA,10,10
2020-04-10 15:00:00,4,buildings,3.75,3.13
2020-04-10 15:05:00,NA,NA,10,10
2020-04-10 15:10:00,NA,NA,10,10
2020-04-10 15:15:00,4,buildings,3.47,3.32
2020-04-10 15:20:00,NA,NA,10,10
2020-04-10 15:25:00,NA,NA,10,10
2020-04-10 15:30:00,NA,NA,10,10
2020-04-10 15:35:00,NA,NA,10,10
2020-04-10 15:40:00,NA,NA,10,10
2020-04-10 15:45:00,4,buildings,3.73,4.01
2020-04-10 15:50:00,NA,NA,10,10
2020-04-10 15:55:00,4,buildings,4.57,3.47
2020-04-10 16:00:00,NA,NA,10,10
2020-04-10 16:05:00,4,buildings,4.52,2.74
2020-04-10 16:10:00,NA,NA,10,10
2020-04-10 16:15:00,NA,NA,10,10
2020-04-10 16:20:00,NA,NA,10,10
2020-04-10 16:25:00,NA,NA,10,10
2020-04-10 16:30:00,NA,NA,10,10
2020-04-10 16:35:00,4,buildings,5.69,3.64
2020-04-10 16:40:00,NA,NA,10,10
2020-04-10 16:45:00,NA,NA,10,10
2020-04-10 16:50:00,NA,NA,10,10
2020-04-10 16:55:00,NA,NA,10,10
2020-04-10 17:00:00,NA,NA,10,10
2020-04-10 17:05:00,NA,NA,10,10
2020-04-10 17:10:00,NA,NA,10,10
2020-04-10 17:15:00,NA,NA,10,10
2020-04-10 17:20:00,NA,NA,10,10
2020-04-10 17:25:00,NA,NA,10,10
2020-04-10 17:30:00,NA,NA,10,10
2020-04-10 17:35:00,NA,NA,10,10
2020-04-10 17:40:00,NA,NA,10,10
2020-04-10 17:45:00,NA,NA,10,10
2020-04-10 17:50:00,NA,NA,10,10
2020-04-10 17:55:00,NA,NA,10,10
2020-04-10 18:00:00,NA,NA,10,10
2020-04-10 18:05:00,NA,NA,10,10
2020-04-10 18:10:00,NA,NA,10,10
2020-04-10 18:15:00,4,buildings,4.02,4.83
2020-04-10 18:20:00,NA,NA,10,10
2020-04-10 18:25:00,NA,NA,10,10
2020-04-10 18:30:00,NA,NA,10,10
2020-04-10 18:35:00,NA,NA,10,10
2020-04-10 18:40:00,NA,NA,10,10
2020-04-10 18:45:00,NA,NA,10,10
2020-04-10 18:50:00,NA,NA,10,10
2020-04-10 18:55:00,NA,NA,10,10
2020-04-10 19:00:00,NA,NA,10,10
2020-04-10 19:05:00,NA,NA,10,10
2020-04-10 19:10:00,NA,NA,10,10
2020-04-10 19:15:00,NA,NA,10,10
2020-04-10 19:20:00,NA,NA,10,10
2020-04-10 19:25:00,NA,NA,10,10
2020-04-10 19:30:00,NA,NA,10,10
2020-04-10 19:35:00,NA,NA,10,10
2020-04-10 19:40:00,NA,NA,10,10
2020-04-10 19:45:00,NA,NA,10,10
2020-04-10 19:50:00,NA,NA,10,10
2020-04-10 19:55:00,NA,NA,10,10
2020-04-10 20:00:00,NA,NA,10,10
2020-04-10 20:05:00,NA,NA,10,10
2020-04-10 20:10:00,NA,NA,10,10
2020-04-10 20:15:00,NA,NA,10,10
2020-04-10 20:20:00,NA,NA,10,10
2020-04-10 20:25:00,NA,NA,10,10
2020-04-10 20:30:00,NA,NA,10,10
2020-04-10 20:35:00,4,buildings,4.54,4.16
2020-04-10 20:40:00,NA,NA,10,10
2020-04-10 20:45:00,NA,NA,10,10
2020-04-10 20:50:00,NA,NA,10,10
2020-04-10 20:55:00,NA,NA,10,10
2020-04-10 21:00:00,NA,NA,10,10
2020-04-10 21:05:00,NA,NA,10,10
2020-04-10 21:10:00,NA,NA,10,10
2020-04-10 21:15:00,NA,NA,10,10
2020-04-10 21:20:00,NA,NA,10,10
2020-04-10 21:25:00,NA,NA,10,10
2020-04-10 21:30:00,NA,NA,10,10
2020-04-10 21:35:00,NA,NA,10,10
2020-04-10 21:40:00,NA,NA,10,10
2020-04-10 21:45:00,NA,NA,10,10
2020-04-10 21:50:00,NA,NA,10,10
2020-04-10 21:55:00,4,buildings,5.25,5.03
2020-04-10 22:00:00,NA,NA,10,10
2020-04-10 22:05:00,NA,NA,10,10
2020-04-10 22:10:00,NA,NA,10,10
2020-04-10 22:15:00,NA,NA,10,10
2020-04-10 22:20:00,NA,NA,10,10
2020-04-10 22:25:00,NA,NA,10,10
2020-04-10 22:30:00,4,buildings,6.04,3.64
2020-04-10 22:35:00,NA,NA,10,10
2020-04-10 22:40:00,NA,NA,10,10
2020-04-10 22:45:00,NA,NA,10,10
2020-04-10 22:50:00,NA,NA,10,10
2020-04-10 22:55:00,NA,NA,10,10
2020-04-10 23:00:00,NA,NA,10,10
2020-04-10 23:05:00,4,buildings,6.02,3.42
2020-04-10 23:10:00,NA,NA,10,10
2020-04-10 23:15:00,NA,NA,10,10
2020-04-10 23:20:00,NA,NA,10,10
2020-04-10 23:25:00,4,buildings,5.25,3.5
2020-04-10 23:30:00,NA,NA,10,10
2020-04-10 23:35:00,NA,NA,10,10
2020-04-10 23:40:00,NA,NA,10,10
2020-04-10 23:45:00,NA,NA,10,10
2020-04-10 23:50:00,NA,NA,10,10
2020-04-10 23:55:00,NA,NA,10,10
2020-04-11 00:00:00,NA,NA,10,10
